group,condition,algorithm,grid,seed,success_rate,mean_undiscounted_return,mean_episode_length,policy_difference_from_optimal,train_stop,stopped_early,training_time_s
learning_rate,decaying_alpha,q_learning,A1_grid,3,1.0,-17.0,28.0,0.0,3197,True,1.977
learning_rate,decaying_alpha,value_iteration,A1_grid,4,1.0,-17.0,28.0,0.0,30,,0.075
learning_rate,decaying_alpha,mc,A1_grid,4,1.0,-19.0,30.0,0.094017,8642,True,5.603
learning_rate,decaying_alpha,q_learning,A1_grid,4,1.0,-17.0,28.0,0.0,8904,True,5.116
learning_rate,visit_count,value_iteration,A1_grid,0,1.0,-17.0,28.0,0.0,30,,0.076
learning_rate,visit_count,mc,A1_grid,0,1.0,-17.0,28.0,0.0,14578,True,7.66
learning_rate,visit_count,q_learning,A1_grid,0,1.0,-17.0,28.0,0.0,3252,True,2.067
learning_rate,visit_count,value_iteration,A1_grid,1,1.0,-17.0,28.0,0.0,30,,0.075
learning_rate,visit_count,mc,A1_grid,1,1.0,-19.0,30.0,0.017094,12583,True,6.689
learning_rate,visit_count,q_learning,A1_grid,1,1.0,-17.0,28.0,0.0,3106,True,1.99
learning_rate,visit_count,value_iteration,A1_grid,2,1.0,-17.0,28.0,0.0,30,,0.077
learning_rate,visit_count,mc,A1_grid,2,1.0,-17.0,28.0,0.0,10930,True,5.826
learning_rate,visit_count,q_learning,A1_grid,2,1.0,-17.0,28.0,0.0,74890,True,38.69
